,0
CL:0000030,0
CL:0000038,1
CL:0000049,2
CL:0000051,3
CL:0000077,4
CL:0000091,5
CL:0000097,6
CL:0000121,7
CL:0000128,8
CL:0000132,9
CL:0000138,10
CL:0000148,11
CL:0000158,12
CL:0000169,13
CL:0000171,14
CL:0000173,15
CL:0000186,16
CL:0000218,17
CL:0000222,18
CL:0000232,19
CL:0000233,20
CL:0000312,21
CL:0000313,22
CL:0000338,23
CL:0000510,24
CL:0000513,25
CL:0000525,26
CL:0000558,27
CL:0000575,28
CL:0000583,29
CL:0000604,30
CL:0000632,31
CL:0000636,32
CL:0000644,33
CL:0000653,34
CL:0000682,35
CL:0000704,36
CL:0000706,37
CL:0000708,38
CL:0000751,39
CL:0000752,40
CL:0000765,41
CL:0000775,42
CL:0000787,43
CL:0000788,44
CL:0000795,45
CL:0000800,46
CL:0000809,47
CL:0000814,48
CL:0000817,49
CL:0000818,50
CL:0000837,51
CL:0000844,52
CL:0000863,53
CL:0000881,54
CL:0000895,55
CL:0000900,56
CL:0000904,57
CL:0000905,58
CL:0000907,59
CL:0000910,60
CL:0000912,61
CL:0000913,62
CL:0000938,63
CL:0000939,64
CL:0000940,65
CL:0000968,66
CL:0000980,67
CL:0000985,68
CL:0000987,69
CL:0001031,70
CL:0001033,71
CL:0001034,72
CL:0001044,73
CL:0001046,74
CL:0001050,75
CL:0001056,76
CL:0001062,77
CL:0001064,78
CL:0001072,79
CL:0001078,80
CL:0002038,81
CL:0002046,82
CL:0002057,83
CL:0002062,84
CL:0002063,85
CL:0002064,86
CL:0002079,87
CL:0002088,88
CL:0002097,89
CL:0002129,90
CL:0002131,91
CL:0002132,92
CL:0002138,93
CL:0002145,94
CL:0002179,95
CL:0002211,96
CL:0002212,97
CL:0002223,98
CL:0002248,99
CL:0002303,100
CL:0002304,101
CL:0002306,102
CL:0002324,103
CL:0002334,104
CL:0002340,105
CL:0002341,106
CL:0002343,107
CL:0002350,108
CL:0002363,109
CL:0002364,110
CL:0002367,111
CL:0002376,112
CL:0002393,113
CL:0002394,114
CL:0002396,115
CL:0002399,116
CL:0002410,117
CL:0002453,118
CL:0002489,119
CL:0002521,120
CL:0002538,121
CL:0002548,122
CL:0002549,123
CL:0002555,124
CL:0002570,125
CL:0002586,126
CL:0002601,127
CL:0002604,128
CL:0002615,129
CL:0002617,130
CL:0002620,131
CL:0002623,132
CL:0002629,133
CL:0002633,134
CL:0002677,135
CL:0003050,136
CL:0004217,137
CL:0004218,138
CL:0004232,139
CL:0005026,140
CL:0008011,141
CL:0008035,142
