,0
CL:0000814,-9999
CL:0000763,-9998
CL:0000775,-9997
CL:0000097,-9996
CL:0000786,-9995
CL:0000236,-9994
CL:0000232,-9993
CL:0000233,0
CL:0000451,-9992
CL:0000084,-9991
CL:0000235,-9990
CL:0000576,-9989
CL:0000094,-9988
CL:0000878,-9987
CL:0000738,-9986
CL:0000129,-9985
CL:0000542,-9984
CL:0000766,-9983
CL:0001082,-9982
CL:0000838,-9981
CL:0000817,-9980
CL:0002355,1
CL:0002045,2
CL:0000559,3
CL:0000816,-9979
CL:0001054,-9978
CL:0000826,-9977
CL:0000836,-9976
CL:0000837,-9975
CL:0000557,-9974
CL:0000556,-9973
CL:0000788,-9972
CL:0000938,4
CL:0000936,5
CL:0000049,-9971
CL:0000784,-9970
CL:0000624,-9969
CL:0000767,-9968
CL:0000860,-9967
CL:0000782,-9966
CL:0000904,6
CL:0000909,-9965
CL:0000875,-9964
CL:0000623,-9963
CL:0000895,7
CL:0000905,8
CL:0000787,-9962
CL:0000900,9
CL:0000798,-9961
CL:0000980,-9960
CL:0001062,10
CL:0001044,11
CL:0000625,-9959
CL:0001050,12
CL:0002393,-9958
CL:0000492,-9957
CL:0000081,-9956
CL:0000113,-9955
CL:0000583,-9954
CL:0000939,13
CL:0000764,-9953
CL:0000988,-9952
CL:0000910,14
CL:0001065,-9951
CL:0000987,15
CL:0000985,16
CL:0000890,-9950
CL:0000863,-9949
CL:0000827,-9948
CL:0000794,17
CL:0000990,-9947
CL:0000037,-9946
CL:0000913,18
CL:0000934,19
CL:0001058,20
CL:0000815,-9945
CL:0000818,-9944
CL:0001043,21
CL:0001049,22
CL:0000940,23
CL:0000898,-9943
CL:0000051,-9942
CL:0000038,-9941
CL:0000050,-9940
CL:0000765,-9939
CL:0000893,-9938
CL:0000091,-9937
CL:0000912,24
CL:0000899,25
CL:0000453,-9936
CL:0002489,-9935
CL:0002046,26
CL:0000785,-9934
CL:0002496,-9933
CL:1001603,-9932
CL:0001056,-9931
CL:0000791,-9930
CL:0002396,27
CL:0001203,-9929
CL:0000792,-9928
CL:4033039,-9927
CL:0000810,-9926
CL:0002399,28
CL:0000811,-9925
CL:2000054,29
CL:0000914,-9924
CL:0008001,-9923
CL:0002057,30
CL:1000695,31
CL:0000809,-9922
CL:0000790,-9921
CL:0002193,-9920
CL:4033043,32
CL:0002048,33
CL:0000550,-9919
CL:0000954,-9918
CL:0000957,-9917
CL:0000907,34
CL:0002397,-9916
CL:0000549,-9915
CL:0002032,-9914
CL:0001071,-9913
CL:0000915,35
CL:0000897,-9912
CL:0000789,-9911
CL:0000906,-9910
CL:0000903,36
CL:0000813,-9909
CL:0000896,-9908
CL:0002038,-9907
CL:0000844,-9906
CL:0002343,37
CL:0001078,-9905
CL:3000001,38
CL:0000972,-9904
CL:0000970,-9903
CL:0002629,39
CL:0002419,-9902
CL:0000800,-9901
CL:0000917,40
CL:0000861,-9900
